session_id,project,machine,start_time,end_time,duration_minutes,user_messages,assistant_messages,tool_calls,tool_types,agent_spawns,input_tokens,output_tokens,commits,branch,model
5a4beed4-4dea-4689-adac-ed9f40d102bb,audiocontrol-s550-support,orion-m4,2026-03-20T21:13:25.919Z,2026-03-21T00:20:48.852Z,187,285,562,258,"AskUserQuestion;Bash;Edit;EnterPlanMode;ExitPlanMode;Glob;Grep;Read;Task;TaskCreate;TaskUpdate;Write",0,56981009,1670,4,feature/s550-support,claude-opus-4-5-20251101
5ced7864-4ac2-45d1-be9a-f7d438b3cba6,audiocontrol-s550-support,orion-m4,2026-03-20T18:25:43.392Z,2026-03-20T21:13:24.139Z,168,289,601,264,"Bash;Edit;ExitPlanMode;Glob;Grep;Read;Task;TaskStop;Write",0,56731407,1642,11,feature/s550-support,claude-opus-4-5-20251101
5d28855a-bfc1-45e5-af33-6f65657d49a4,audiocontrol-s550-support,orion-m4,2026-03-15T22:26:37.921Z,2026-03-15T22:43:26.984Z,17,59,82,55,"Bash;Edit;Glob;Grep;Read;Task;TaskCreate;TaskUpdate;Write",0,5924897,640,1,feature/s550-support,claude-opus-4-5-20251101
664d78ef-c372-42cf-bfc3-c37b5df7cf14,audiocontrol-s550-support,orion-m4,2026-03-13T00:55:22.125Z,2026-03-13T01:08:26.981Z,13,25,51,22,"AskUserQuestion;Bash;EnterPlanMode;ExitPlanMode;Glob;Read;Task;Write",0,2509971,118,0,feature/s550-support,claude-opus-4-5-20251101
b962c00e-f80d-4e6e-aecb-fd68637c0c43,audiocontrol-s550-support,orion-m4,2026-03-21T04:04:17.107Z,2026-03-28T03:48:04.628Z,10064,369,782,331,"Bash;Edit;Glob;Grep;Read;Task;Write",0,86146704,1976,13,feature/s550-support,claude-opus-4-5-20251101
de5bea43-a6bc-4d34-bdde-986e2d584a3a,audiocontrol-s550-support,orion-m4,2026-03-28T17:45:36.436Z,2026-03-29T16:52:49.073Z,1387,197,387,169,"Bash;Edit;Glob;Grep;Read;Write",0,31298980,944,7,feature/s550-support,claude-opus-4-5-20251101
f95740db-2c5d-4473-a8a2-af3c9edd6066,audiocontrol-s550-support,orion-m4,2026-03-21T03:13:02.711Z,2026-03-21T04:03:18.244Z,50,131,222,124,"Bash;Edit;ExitPlanMode;Grep;Read;Task;TaskCreate;TaskUpdate;Write",0,19552414,1286,1,feature/s550-support,claude-opus-4-5-20251101
36d312ce-d806-4015-bbff-2a886f910cd2,audiocontrol-test-e2e,orion-m4,2026-03-28T22:37:53.773Z,2026-03-29T00:44:07.066Z,126,339,643,277,"Bash;Edit;ExitPlanMode;Glob;Grep;Read;Task;TaskOutput;TaskStop;WebFetch;WebSearch;Write",0,63011844,1448,9,test/e2e,claude-opus-4-5-20251101
3db928d3-a369-4aa0-9ab1-810260645c01,audiocontrol-test-e2e,orion-m4,2026-03-29T03:24:07.427Z,2026-03-29T21:28:59.241Z,1085,499,961,427,"Bash;Edit;Glob;Grep;Read;Task;TaskOutput;Write",0,93602436,2573,9,test/e2e,claude-opus-4-5-20251101
593e17b4-ddbc-4f10-b121-3319a847287d,audiocontrol-test-e2e,orion-m4,2026-03-29T03:24:07.427Z,2026-03-29T21:27:44.924Z,1084,498,960,427,"Bash;Edit;Glob;Grep;Read;Task;TaskOutput;Write",0,93602436,2573,9,test/e2e,claude-opus-4-5-20251101
67252b19-1a2e-4253-97ee-8546a40ab78f,audiocontrol-test-e2e,orion-m4,2026-03-29T21:51:55.627Z,2026-03-30T00:00:50.713Z,129,166,341,148,"Bash;Edit;ExitPlanMode;Glob;Grep;Read;Task;Write",0,34542648,685,3,test/e2e,claude-opus-4-5-20251101
81e7c13f-c935-41e9-bd4f-b093c7f90521,audiocontrol-test-e2e,orion-m4,2026-03-30T00:09:43.921Z,2026-04-08T03:42:57.788Z,13173,2151,3016,1796,"Agent;AskUserQuestion;Bash;Edit;EnterPlanMode;ExitPlanMode;Glob;Grep;Read;Task;ToolSearch;WebFetch;Write",115,1322676585,534372,105,test/e2e,claude-opus-4-5-20251101
89af97fa-6c96-4c26-a90f-688356f3ed1c,audiocontrol-test-e2e,orion-m4,2026-03-29T21:29:43.814Z,2026-03-29T21:47:51.841Z,18,63,121,58,"AskUserQuestion;Bash;Edit;ExitPlanMode;Glob;Grep;Read;Task;Write",0,6946626,228,0,test/e2e,claude-opus-4-5-20251101
9361ac41-2bc3-4643-9cb4-2cd77ea44770,audiocontrol-test-e2e,orion-m4,2026-03-29T00:54:29.787Z,2026-03-29T03:23:56.753Z,149,133,273,112,"AskUserQuestion;Bash;Edit;ExitPlanMode;Glob;Grep;Read;Task;WebFetch;Write",0,26449067,681,6,test/e2e,claude-opus-4-5-20251101
acde6e9d-a260-4a1e-8c8e-ac2a32528b70,audiocontrol-test-e2e,orion-m4,2026-03-28T22:36:08.240Z,2026-03-28T22:36:31.832Z,0,5,3,1,"Bash",0,78148,9,0,test/e2e,claude-opus-4-5-20251101
f6329a25-76e9-4109-8ad1-296ee49c96fa,audiocontrol-test-e2e,orion-m4,2026-03-30T00:09:43.921Z,2026-03-30T02:02:36.101Z,113,162,290,126,"Agent;Bash;Edit;Glob;Grep;Read;Task",1,20538407,13339,3,test/e2e,claude-opus-4-5-20251101
fdf62c43-27ac-4af6-aca8-0d4f0940894d,audiocontrol-test-e2e,orion-m4,2026-03-30T00:01:16.730Z,2026-03-30T00:09:41.882Z,8,26,41,18,"Bash;ExitPlanMode;Grep;Read;Task;Write",0,2155674,88,0,test/e2e,claude-opus-4-5-20251101
2945e330-e9dd-4c07-bc43-7ecb22d637d8,audiocontrol-test-e2e-modules-roland-sxx0-editor,orion-m4,2026-03-30T16:25:23.046Z,2026-03-30T16:25:23.046Z,0,3,0,0,"",0,0,0,0,test/e2e,
17fc89b3-f612-41dd-8241-d61edc7cd81b,midi-server-sse-events,orion-m4,2026-03-30T15:05:18.990Z,2026-03-30T18:29:10.189Z,204,114,138,84,"Agent;Bash;Edit;Glob;Grep;Read;ToolSearch;WebFetch;Write",8,8722932,23881,3,feature/sse-events,claude-opus-4-6
